City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sarmiento,-45.5882,-69.07,15.09,33,0,0.56,AR,1712955609
1,tura,25.5198,90.2201,23.98,35,25,1.56,IN,1712955610
2,goodyear,33.4353,-112.3582,34.54,12,0,5.66,US,1712955610
3,ribeira grande,38.5167,-28.7,17.22,72,20,8.05,PT,1712955610
4,butembo,0.15,29.2833,16.25,96,100,0.67,CD,1712955610
5,cubatao,-23.895,-46.4253,28.85,55,75,4.12,BR,1712955611
6,iqaluit,63.7506,-68.5145,-9.15,61,20,11.32,CA,1712955611
7,baker city,44.7749,-117.8344,22.84,38,20,5.66,US,1712955455
8,putian,25.4394,119.0103,18.66,99,28,0.88,CN,1712955608
9,chadstone,-37.8877,145.0952,14.04,88,13,2.02,AU,1712955612
10,east london,-33.0153,27.9116,15.71,70,62,3.91,ZA,1712955612
11,akrehamn,59.2667,5.1833,8.33,93,100,5.66,NO,1712955612
12,isafjordur,66.0755,-23.124,-4.93,86,99,5.77,IS,1712955612
13,albany,42.6001,-73.9662,13.69,80,100,3.13,US,1712955613
14,mezzolombardo,46.209,11.0968,19.89,57,0,2.06,IT,1712955613
15,dunedin,-45.8742,170.5036,9.33,90,100,0.89,NZ,1712955580
16,hithadhoo,-0.6,73.0833,25.25,93,100,1.49,MV,1712955613
17,wailua homesteads,22.0669,-159.378,27.24,87,35,1.79,US,1712955613
18,la passe,45.5549,-0.8967,20.13,88,30,2.89,FR,1712955614
19,sao joao del rei,-21.1356,-44.2617,19.0,87,97,2.57,BR,1712955614
20,ushuaia,-54.8,-68.3,9.81,57,0,9.26,AR,1712955614
21,mabaruma,8.2,-59.7833,26.63,82,65,2.49,GY,1712955614
22,ilulissat,69.2167,-51.1,-4.61,91,100,3.7,GL,1712955615
23,margaret river,-33.95,115.0667,15.98,69,93,3.36,AU,1712955615
24,avarua,-21.2078,-159.775,27.03,89,75,7.72,CK,1712955615
25,kodiak,57.79,-152.4072,2.73,75,100,1.54,US,1712955616
26,port-aux-francais,-49.35,70.2167,9.0,98,100,16.77,TF,1712955616
27,tomatlan,19.9333,-105.25,32.86,39,99,3.86,MX,1712955616
28,iskateley,67.6803,53.1512,-15.64,91,100,7.12,RU,1712955616
29,bredasdorp,-34.5322,20.0403,14.51,73,67,4.65,ZA,1712955617
30,weno,7.4515,151.8468,27.97,83,100,2.57,FM,1712955617
31,galle,6.0367,80.217,25.25,89,100,3.22,LK,1712955617
32,punta del este,-34.9667,-54.95,20.06,75,100,6.71,UY,1712955618
33,nebraska city,40.6767,-95.8592,20.52,25,0,2.06,US,1712955618
34,kudahuvadhoo,2.6708,72.8944,29.03,72,100,3.66,MV,1712955618
35,northam,51.0333,-4.2167,12.01,93,100,3.8,GB,1712955618
36,ghadamis,30.1337,9.5007,12.77,62,0,3.74,LY,1712955619
37,bethel,41.3712,-73.414,15.67,75,100,6.17,US,1712955619
38,edinburgh of the seven seas,-37.0676,-12.3116,19.12,92,92,10.38,SH,1712955619
39,waitangi,-43.9535,-176.5597,17.12,96,100,4.02,NZ,1712955620
40,malvan,16.0667,73.4667,26.83,72,32,5.66,IN,1712955620
41,villa gesell,-37.2639,-56.973,15.59,70,100,5.3,AR,1712955620
42,khark,29.2614,50.3306,26.01,38,0,3.09,IR,1712955620
43,adamstown,-25.066,-130.1015,22.05,60,21,6.36,PN,1712955621
44,undurkhaan,47.3194,110.6556,6.81,55,72,2.27,MN,1712955621
45,mwene-ditu,-7.0,23.45,20.99,94,83,1.26,CD,1712955621
46,olonkinbyen,70.9221,-8.7187,-10.35,70,100,12.09,SJ,1712955622
47,puerto natales,-51.7236,-72.4875,12.25,62,0,5.66,CL,1712955622
48,aasiaat,68.7098,-52.8699,-6.32,85,99,2.65,GL,1712955622
49,alpena,45.0617,-83.4327,6.18,96,100,13.38,US,1712955622
50,bikenibeu village,1.3673,173.1241,28.98,79,40,2.57,KI,1712955623
51,bilibino,68.0546,166.4372,-10.06,83,100,1.29,RU,1712955623
52,badger,64.8,-147.5333,4.14,60,75,0.0,US,1712955611
53,safi,32.1667,-8.8333,24.21,22,0,6.06,MA,1712955623
54,lucapa,-8.4192,20.7447,20.27,96,99,1.26,AO,1712955624
55,oltinko'l,40.8011,72.1634,20.41,46,100,4.4,UZ,1712955624
56,axim,4.8699,-2.2405,27.51,85,51,2.53,GH,1712955624
